job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl
89 50 1225 2 uniform2 1 134 5000 0.0670000000000002 98 2 2 1 29
90 50 1225 2 uniform2 1 459 5000 0.407 98 2 2 2 30
91 50 1225 2 uniform3 1 227 5000 0.133 98 1 2 2 1
92 50 1225 2 uniform3 1 142 5000 0.0859999999999994 98 1 2 2 2
93 50 1225 2 uniform3 1 159 5000 0.0969999999999995 98 1 2 2 3
94 50 1225 2 uniform3 1 236 5000 0.125 98 1 2 2 4
95 50 1225 2 uniform3 1 209 5000 0.107 98 2 2 2 5
96 50 1225 2 uniform3 1 245 5000 0.143 98 2 2 2 6
97 50 1225 2 uniform3 1 164 5000 0.0949999999999998 98 1 2 2 7
98 50 1225 2 uniform3 1 286 5000 0.391 98 2 2 2 8
99 50 1225 2 uniform3 1 200 5000 0.103 98 2 2 1 9
100 50 1225 2 uniform3 1 299 5000 0.317 98 1 2 2 10
101 50 1225 2 uniform3 1 465 5000 0.419 98 2 1 1 11
102 50 1225 2 uniform3 1 500 5000 0.454 98 2 2 2 12
103 50 1225 2 uniform3 1 178 5000 0.108 98 1 2 2 13
104 50 1225 2 uniform3 1 357 5000 0.351 98 1 2 2 14
105 50 1225 2 uniform3 1 216 5000 0.116 98 1 2 2 15
106 50 1225 2 uniform3 1 139 5000 0.0659999999999998 98 1 2 2 16
107 50 1225 2 uniform3 1 296 5000 0.136 98 2 2 2 17
108 50 1225 2 uniform3 1 299 5000 0.350000000000001 98 1 2 2 18
109 50 1225 2 uniform3 1 225 5000 0.129 98 2 2 2 19
110 50 1225 2 uniform3 1 142 5000 0.0899999999999999 98 1 2 2 20
111 50 1225 2 uniform3 1 236 5000 0.127 98 1 1 2 21
112 50 1225 2 uniform3 1 175 5000 0.0780000000000003 98 2 1 2 22
113 50 1225 2 uniform3 1 523 5000 0.428 98 2 2 2 23
114 50 1225 2 uniform3 1 151 5000 0.0960000000000001 98 1 2 2 24
115 50 1225 2 uniform3 1 334 5000 0.386 98 1 2 2 25
116 50 1225 2 uniform3 1 138 5000 0.069 98 1 2 2 26
117 50 1225 2 uniform3 1 235 5000 0.125 98 2 2 1 27
118 50 1225 2 uniform3 1 216 5000 0.104 98 2 2 2 28
119 50 1225 2 uniform3 1 153 5000 0.0830000000000002 98 2 2 2 29
120 50 1225 2 uniform3 1 173 5000 0.107 98 2 2 1 30
121 50 1225 10 poisson 1 2415 25000 2.052 4410 3 7 6 1
122 50 1225 10 poisson 1 2447 25000 2.403 4410 4 6 7 2
123 50 1225 10 poisson 1 6338 25000 5.373 4410 3 6 7 3
124 50 1225 10 poisson 1 3985 25000 3.325 4410 2 7 7 4
125 50 1225 10 poisson 1 1822 25000 1.617 4410 3 5 6 5
126 50 1225 10 poisson 1 3747 25000 3.282 4410 4 7 6 6
127 50 1225 10 poisson 1 4553 25000 4.187 4410 3 6 6 7
128 50 1225 10 poisson 1 3980 25000 3.561 4410 2 4 6 8
129 50 1225 10 poisson 1 2522 25000 2.626 4410 4 7 6 9
130 50 1225 10 poisson 1 4814 25000 3.89 4410 4 6 8 10
131 50 1225 10 poisson 1 2739 25000 2.348 4410 3 6 6 11
132 50 1225 10 poisson 1 3676 25000 3.609 4410 2 5 6 12
133 50 1225 10 poisson 1 2227 25000 2.259 4410 4 6 8 13
134 50 1225 10 poisson 1 2544 25000 2.662 4410 2 4 7 14
135 50 1225 10 poisson 1 2815 25000 2.765 4410 3 7 7 15
136 50 1225 10 poisson 1 3573 25000 3.005 4410 3 5 6 16
137 50 1225 10 poisson 1 3738 25000 3.397 4410 2 6 8 17
138 50 1225 10 poisson 1 6330 25000 11.277 4410 3 6 7 18
139 50 1225 10 poisson 1 3577 25000 3.144 4410 3 5 8 19
140 50 1225 10 poisson 1 3265 25000 2.713 4410 3 4 8 20
141 50 1225 10 poisson 1 4706 25000 4.13 4410 4 5 7 21
142 50 1225 10 poisson 1 5391 25000 4.893 4410 3 7 5 22
143 50 1225 10 poisson 1 2555 25000 2.419 4410 4 4 9 23
144 50 1225 10 poisson 1 3538 25000 3.182 4410 3 4 7 24
145 50 1225 10 poisson 1 5774 25000 5.025 4410 2 6 8 25
146 50 1225 10 poisson 1 4112 25000 3.681 4410 3 6 6 26
147 50 1225 10 poisson 1 4765 25000 4.082 4410 4 6 7 27
148 50 1225 10 poisson 1 3076 25000 3.018 4410 3 6 6 28
149 50 1225 10 poisson 1 3552 25000 3.322 4410 3 6 5 29
150 50 1225 10 poisson 1 3667 25000 3.252 4410 5 6 8 30
151 50 1225 10 uniform1 1 14487 25000 11.483 4410 3 7 6 1
152 50 1225 10 uniform1 1 11347 25000 10.741 4410 3 4 8 2
153 50 1225 10 uniform1 1 5336 25000 4.939 4410 3 7 8 3
154 50 1225 10 uniform1 1 6460 25000 4.835 4410 3 6 5 4
155 50 1225 10 uniform1 1 9100 25000 7.147 4410 3 5 7 5
156 50 1225 10 uniform1 1 6972 25000 5.768 4410 2 7 8 6
157 50 1225 10 uniform1 1 7419 25000 6.304 4410 3 7 7 7
158 50 1225 10 uniform1 1 6395 25000 6.068 4410 3 6 7 8
159 50 1225 10 uniform1 1 9457 25000 7.812 4410 4 6 7 9
160 50 1225 10 uniform1 1 7172 25000 6.705 4410 3 7 6 10
161 50 1225 10 uniform1 1 6195 25000 5.08 4410 3 6 5 11
162 50 1225 10 uniform1 1 5620 25000 4.829 4410 3 7 7 12
163 50 1225 10 uniform1 1 6014 25000 5.512 4410 2 6 5 13
164 50 1225 10 uniform1 1 4599 25000 3.656 4410 3 5 9 14
165 50 1225 10 uniform1 1 4432 25000 3.832 4410 3 5 7 15
166 50 1225 10 uniform1 1 8179 25000 7.531 4410 3 7 7 16
167 50 1225 10 uniform1 1 7253 25000 5.912 4410 4 6 6 17
168 50 1225 10 uniform1 1 10081 25000 7.952 4410 2 7 5 18
169 50 1225 10 uniform1 1 4353 25000 3.804 4410 4 5 6 19
170 50 1225 10 uniform1 1 4513 25000 4.107 4410 3 8 7 20
171 50 1225 10 uniform1 1 6033 25000 4.992 4410 3 7 6 21
172 50 1225 10 uniform1 1 5721 25000 4.905 4410 4 5 6 22
173 50 1225 10 uniform1 1 7626 25000 6.964 4410 4 7 8 23
174 50 1225 10 uniform1 1 9096 25000 7.751 4410 4 6 6 24
175 50 1225 10 uniform1 1 6134 25000 5.378 4410 3 9 6 25
176 50 1225 10 uniform1 1 4730 25000 3.796 4410 2 6 7 26
177 50 1225 10 uniform1 1 7574 25000 6.495 4410 4 6 9 27
178 50 1225 10 uniform1 1 4987 25000 4.143 4410 2 5 5 28
179 50 1225 10 uniform1 1 11312 25000 9.613 4410 3 6 6 29
180 50 1225 10 uniform1 1 6006 25000 5.218 4410 3 4 5 30
181 50 1225 10 uniform2 1 3913 25000 3.23 4410 3 7 6 1
182 50 1225 10 uniform2 1 4210 25000 3.971 4410 3 6 7 2
183 50 1225 10 uniform2 1 6358 25000 5.424 4410 4 7 7 3
184 50 1225 10 uniform2 1 4701 25000 4.337 4410 3 4 6 4
185 50 1225 10 uniform2 1 6196 25000 5.486 4410 3 7 7 5
186 50 1225 10 uniform2 1 7527 25000 6.251 4410 4 6 8 6
187 50 1225 10 uniform2 1 9706 25000 7.771 4410 3 6 6 7
188 50 1225 10 uniform2 1 4720 25000 3.672 4410 3 5 5 8
189 50 1225 10 uniform2 1 5981 25000 5.23 4410 3 6 6 9
190 50 1225 10 uniform2 1 6696 25000 5.77 4410 2 5 7 10
191 50 1225 10 uniform2 1 5557 25000 5.431 4410 5 6 8 11
192 50 1225 10 uniform2 1 4247 25000 3.694 4410 3 5 7 12
193 50 1225 10 uniform2 1 7539 25000 6.757 4410 2 7 7 13
194 50 1225 10 uniform2 1 3089 25000 3.043 4410 3 6 6 14
195 50 1225 10 uniform2 1 3762 25000 2.924 4410 3 8 8 15
196 50 1225 10 uniform2 1 3626 25000 2.912 4410 3 6 7 16
197 50 1225 10 uniform2 1 4787 25000 4.407 4410 4 6 7 17
198 50 1225 10 uniform2 1 5628 25000 4.504 4410 3 7 9 18
199 50 1225 10 uniform2 1 4508 25000 7.346 4410 3 6 6 19
200 50 1225 10 uniform2 1 6616 25000 5.242 4410 4 5 5 20
201 50 1225 10 uniform2 1 7283 25000 6.2 4410 3 5 7 21
202 50 1225 10 uniform2 1 4472 25000 3.579 4410 3 6 6 22
203 50 1225 10 uniform2 1 4809 25000 4.05 4410 3 5 5 23
204 50 1225 10 uniform2 1 5280 25000 4.608 4410 3 7 7 24
205 50 1225 10 uniform2 1 3381 25000 2.832 4410 2 5 7 25
206 50 1225 10 uniform2 1 4294 25000 3.967 4410 3 7 6 26
207 50 1225 10 uniform2 1 4985 25000 4.485 4410 2 5 7 27
208 50 1225 10 uniform2 1 4851 25000 4.296 4410 3 7 8 28
209 50 1225 10 uniform2 1 5695 25000 4.404 4410 3 5 8 29
210 50 1225 10 uniform2 1 4258 25000 3.802 4410 2 7 7 30
211 50 1225 10 uniform3 1 3236 25000 2.556 4410 4 5 8 1
212 50 1225 10 uniform3 1 4082 25000 3.338 4410 2 5 6 2
213 50 1225 10 uniform3 1 2417 25000 2.381 4410 2 4 6 3
214 50 1225 10 uniform3 1 5751 25000 5.1 4410 3 6 7 4
215 50 1225 10 uniform3 1 5235 25000 4.242 4410 3 7 5 5
216 50 1225 10 uniform3 1 3254 25000 3.248 4410 3 8 6 6
