job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl type
76 100 4950 2 poisson 0.5 20000 20000 10.449 118 2 1 2 16 euclidean
77 100 4950 2 poisson 0.5 20000 20000 10.327 124 1 2 2 17 euclidean
78 100 4950 2 poisson 0.5 20000 20000 10.903 120 2 2 2 18 euclidean
79 100 4950 2 poisson 0.5 20000 20000 9.941 116 1 2 2 19 euclidean
80 100 4950 2 poisson 0.5 20000 20000 10.335 112 2 2 2 20 euclidean
81 100 4950 2 poisson 0.5 20000 20000 10.551 120 2 2 2 21 euclidean
82 100 4950 2 poisson 0.5 20000 20000 10.728 108 2 2 2 22 euclidean
83 100 4950 2 poisson 0.5 20000 20000 10.8 112 1 2 2 23 euclidean
84 100 4950 2 poisson 0.5 20000 20000 10.496 112 1 2 2 24 euclidean
85 100 4950 2 poisson 0.5 20000 20000 8.747 126 2 2 2 25 euclidean
86 100 4950 2 poisson 0.5 20000 20000 10.751 114 1 2 2 26 euclidean
87 100 4950 2 poisson 0.5 20000 20000 10.408 106 1 2 2 27 euclidean
88 100 4950 2 poisson 0.5 20000 20000 9.986 118 1 2 2 28 euclidean
89 100 4950 2 poisson 0.5 20000 20000 9.45 112 2 1 2 29 euclidean
90 100 4950 2 poisson 0.5 20000 20000 11.054 130 2 2 1 30 euclidean
91 100 4950 2 poisson 1 20000 20000 10.881 160 2 1 2 1 euclidean
92 100 4950 2 poisson 1 20000 20000 10.629 176 2 2 2 2 euclidean
93 100 4950 2 poisson 1 20000 20000 11.036 172 2 2 1 3 euclidean
94 100 4950 2 poisson 1 20000 20000 10.728 176 2 2 2 4 euclidean
95 100 4950 2 poisson 1 20000 20000 14.235 170 1 2 2 5 euclidean
96 100 4950 2 poisson 1 20000 20000 10.394 164 2 2 2 6 euclidean
97 100 4950 2 poisson 1 20000 20000 10.502 174 1 1 2 7 euclidean
98 100 4950 2 poisson 1 20000 20000 10.302 166 1 2 2 8 euclidean
99 100 4950 2 poisson 1 20000 20000 9.545 174 2 2 2 9 euclidean
100 100 4950 2 poisson 1 20000 20000 10.765 164 2 1 1 10 euclidean
101 100 4950 2 poisson 1 20000 20000 11.019 166 2 2 2 11 euclidean
102 100 4950 2 poisson 1 20000 20000 10.772 162 1 2 2 12 euclidean
103 100 4950 2 poisson 1 20000 20000 10.414 166 1 2 1 13 euclidean
104 100 4950 2 poisson 1 20000 20000 10.785 170 1 1 2 14 euclidean
105 100 4950 2 poisson 1 20000 20000 10.618 174 2 2 1 15 euclidean
106 100 4950 2 poisson 1 20000 20000 11.452 166 2 2 2 16 euclidean
107 100 4950 2 poisson 1 20000 20000 9.56 172 2 2 2 17 euclidean
108 100 4950 2 poisson 1 20000 20000 10.774 174 1 2 2 18 euclidean
109 100 4950 2 poisson 1 20000 20000 10.59 164 2 2 2 19 euclidean
110 100 4950 2 poisson 1 20000 20000 10.694 170 2 1 1 20 euclidean
111 100 4950 2 poisson 1 20000 20000 10.579 164 2 2 2 21 euclidean
112 100 4950 2 poisson 1 20000 20000 10.662 174 2 2 2 22 euclidean
113 100 4950 2 poisson 1 20000 20000 10.936 178 1 2 2 23 euclidean
114 100 4950 2 poisson 1 20000 20000 10.855 180 2 2 2 24 euclidean
115 100 4950 2 poisson 1 20000 20000 10.47 176 1 2 2 25 euclidean
116 100 4950 2 poisson 1 20000 20000 10.813 164 2 2 2 26 euclidean
117 100 4950 2 poisson 1 20000 20000 10.756 164 2 2 2 27 euclidean
118 100 4950 2 poisson 1 20000 20000 10.299 174 1 2 2 28 euclidean
119 100 4950 2 poisson 1 20000 20000 10.406 170 2 2 2 29 euclidean
120 100 4950 2 poisson 1 20000 20000 9.425 172 2 2 2 30 euclidean
121 100 4950 2 uniform1 0.05 20000 20000 10.614 16 1 2 2 1 euclidean
122 100 4950 2 uniform1 0.05 20000 20000 10.236 30 1 2 2 2 euclidean
123 100 4950 2 uniform1 0.05 20000 20000 8.704 28 1 1 1 3 euclidean
124 100 4950 2 uniform1 0.05 20000 20000 10.486 22 1 2 2 4 euclidean
125 100 4950 2 uniform1 0.05 20000 20000 9.938 22 1 1 2 5 euclidean
126 100 4950 2 uniform1 0.05 20000 20000 10.772 26 1 2 1 6 euclidean
127 100 4950 2 uniform1 0.05 20000 20000 10.299 18 1 1 2 7 euclidean
128 100 4950 2 uniform1 0.05 20000 20000 10.384 16 1 2 2 8 euclidean
129 100 4950 2 uniform1 0.05 20000 20000 10.376 20 1 2 2 9 euclidean
130 100 4950 2 uniform1 0.05 20000 20000 9.997 24 2 2 1 10 euclidean
131 100 4950 2 uniform1 0.05 20000 20000 9.955 30 1 2 2 11 euclidean
132 100 4950 2 uniform1 0.05 20000 20000 10.492 20 1 2 2 12 euclidean
133 100 4950 2 uniform1 0.05 20000 20000 10.012 16 1 1 2 13 euclidean
134 100 4950 2 uniform1 0.05 20000 20000 10.429 22 1 1 2 14 euclidean
135 100 4950 2 uniform1 0.05 20000 20000 10.533 10 2 2 2 15 euclidean
136 100 4950 2 uniform1 0.05 20000 20000 10.052 28 2 2 2 16 euclidean
137 100 4950 2 uniform1 0.05 20000 20000 9.923 28 1 2 1 17 euclidean
138 100 4950 2 uniform1 0.05 20000 20000 10.631 20 2 2 2 18 euclidean
139 100 4950 2 uniform1 0.05 20000 20000 10.61 22 1 2 2 19 euclidean
140 100 4950 2 uniform1 0.05 20000 20000 10.107 24 2 2 2 20 euclidean
141 100 4950 2 uniform1 0.05 20000 20000 9.904 22 2 2 2 21 euclidean
142 100 4950 2 uniform1 0.05 20000 20000 10.974 32 1 2 2 22 euclidean
143 100 4950 2 uniform1 0.05 20000 20000 10.397 20 1 2 2 23 euclidean
144 100 4950 2 uniform1 0.05 20000 20000 10.46 10 1 1 2 24 euclidean
145 100 4950 2 uniform1 0.05 20000 20000 10.476 24 1 2 2 25 euclidean
146 100 4950 2 uniform1 0.05 20000 20000 10.553 24 1 2 2 26 euclidean
147 100 4950 2 uniform1 0.05 20000 20000 10.222 32 1 2 1 27 euclidean
148 100 4950 2 uniform1 0.05 20000 20000 10.326 22 1 1 2 28 euclidean
149 100 4950 2 uniform1 0.05 20000 20000 10.44 22 1 2 1 29 euclidean
150 100 4950 2 uniform1 0.05 20000 20000 10.06 28 2 2 1 30 euclidean
151 100 4950 2 uniform1 0.1 20000 20000 10.415 14 2 2 2 1 euclidean
152 100 4950 2 uniform1 0.1 20000 20000 10.38 50 1 2 2 2 euclidean
153 100 4950 2 uniform1 0.1 20000 20000 10.171 22 1 2 2 3 euclidean
154 100 4950 2 uniform1 0.1 20000 20000 10.15 36 1 2 2 4 euclidean
155 100 4950 2 uniform1 0.1 20000 20000 10.366 32 1 2 2 5 euclidean
156 100 4950 2 uniform1 0.1 20000 20000 9.962 20 1 2 2 6 euclidean
157 100 4950 2 uniform1 0.1 20000 20000 10.458 30 1 2 2 7 euclidean
158 100 4950 2 uniform1 0.1 20000 20000 10.339 22 2 2 2 8 euclidean
159 100 4950 2 uniform1 0.1 20000 20000 10.054 42 1 2 2 9 euclidean
160 100 4950 2 uniform1 0.1 20000 20000 10.274 36 2 2 2 10 euclidean
161 100 4950 2 uniform1 0.1 20000 20000 11.502 36 1 2 2 11 euclidean
162 100 4950 2 uniform1 0.1 20000 20000 9.356 38 1 2 2 12 euclidean
163 100 4950 2 uniform1 0.1 20000 20000 10.588 32 1 2 2 13 euclidean
164 100 4950 2 uniform1 0.1 20000 20000 10.344 24 1 2 1 14 euclidean
165 100 4950 2 uniform1 0.1 20000 20000 10.089 24 1 1 2 15 euclidean
166 100 4950 2 uniform1 0.1 20000 20000 9.837 22 1 2 2 16 euclidean
167 100 4950 2 uniform1 0.1 20000 20000 10.011 42 1 2 2 17 euclidean
168 100 4950 2 uniform1 0.1 20000 20000 10.345 44 1 2 2 18 euclidean
169 100 4950 2 uniform1 0.1 20000 20000 10.176 32 1 2 2 19 euclidean
170 100 4950 2 uniform1 0.1 20000 20000 9.864 50 1 1 2 20 euclidean
171 100 4950 2 uniform1 0.1 20000 20000 10.256 28 1 2 2 21 euclidean
172 100 4950 2 uniform1 0.1 20000 20000 10.371 22 1 2 2 22 euclidean
173 100 4950 2 uniform1 0.1 20000 20000 9.647 36 1 2 2 23 euclidean
174 100 4950 2 uniform1 0.1 20000 20000 10.101 34 2 2 2 24 euclidean
175 100 4950 2 uniform1 0.1 20000 20000 10.403 22 1 2 2 25 euclidean
176 100 4950 2 uniform1 0.1 20000 20000 10.009 34 1 1 2 26 euclidean
177 100 4950 2 uniform1 0.1 20000 20000 8.57 26 1 2 2 27 euclidean
178 100 4950 2 uniform1 0.1 20000 20000 9.965 28 1 2 2 28 euclidean
179 100 4950 2 uniform1 0.1 20000 20000 10.216 30 2 2 2 29 euclidean
180 100 4950 2 uniform1 0.1 20000 20000 10.315 36 2 2 2 30 euclidean
181 100 4950 2 uniform1 0.5 20000 20000 9.769 62 1 2 2 1 euclidean
182 100 4950 2 uniform1 0.5 20000 20000 10.36 70 2 2 2 2 euclidean
183 100 4950 2 uniform1 0.5 20000 20000 10.719 48 2 2 2 3 euclidean
184 100 4950 2 uniform1 0.5 20000 20000 10.352 66 2 2 2 4 euclidean
185 100 4950 2 uniform1 0.5 20000 20000 10.246 72 2 2 2 5 euclidean
186 100 4950 2 uniform1 0.5 20000 20000 9.55 78 2 2 2 6 euclidean
187 100 4950 2 uniform1 0.5 20000 20000 10.251 60 2 2 2 7 euclidean
188 100 4950 2 uniform1 0.5 20000 20000 10.277 64 1 2 2 8 euclidean
189 100 4950 2 uniform1 0.5 20000 20000 9.599 62 2 2 2 9 euclidean
190 100 4950 2 uniform1 0.5 20000 20000 10.832 82 2 2 2 10 euclidean
191 100 4950 2 uniform1 0.5 20000 20000 10.786 76 1 2 2 11 euclidean
192 100 4950 2 uniform1 0.5 20000 20000 9.003 56 2 2 2 12 euclidean
193 100 4950 2 uniform1 0.5 20000 20000 10.65 52 1 2 2 13 euclidean
194 100 4950 2 uniform1 0.5 20000 20000 10.145 60 1 2 2 14 euclidean
195 100 4950 2 uniform1 0.5 20000 20000 10.175 58 1 2 2 15 euclidean
196 100 4950 2 uniform1 0.5 20000 20000 10.306 40 1 2 2 16 euclidean
197 100 4950 2 uniform1 0.5 20000 20000 9.422 62 1 2 2 17 euclidean
198 100 4950 2 uniform1 0.5 20000 20000 12.504 66 1 2 2 18 euclidean
199 100 4950 2 uniform1 0.5 20000 20000 10.669 46 1 2 2 19 euclidean
200 100 4950 2 uniform1 0.5 20000 20000 10.487 66 2 1 2 20 euclidean
201 100 4950 2 uniform1 0.5 20000 20000 10.221 48 1 2 2 21 euclidean
202 100 4950 2 uniform1 0.5 20000 20000 9.305 58 2 2 2 22 euclidean
203 100 4950 2 uniform1 0.5 20000 20000 10.076 62 2 2 2 23 euclidean
204 100 4950 2 uniform1 0.5 20000 20000 10.777 68 1 2 2 24 euclidean
205 100 4950 2 uniform1 0.5 20000 20000 10.96 52 1 2 2 25 euclidean
206 100 4950 2 uniform1 0.5 20000 20000 10.706 74 1 2 2 26 euclidean
207 100 4950 2 uniform1 0.5 20000 20000 10.535 58 2 2 2 27 euclidean
208 100 4950 2 uniform1 0.5 20000 20000 9.567 70 2 1 2 28 euclidean
209 100 4950 2 uniform1 0.5 20000 20000 10.645 54 1 2 2 29 euclidean
210 100 4950 2 uniform1 0.5 20000 20000 10.796 60 1 1 1 30 euclidean
211 100 4950 2 uniform1 1 20000 20000 10.929 98 2 2 2 1 euclidean
212 100 4950 2 uniform1 1 20000 20000 10.684 94 2 1 2 2 euclidean
